DTG,ENGINE_NO,REAL_POWER,FCU_POS,S_RPM,LPC_RPM,HPC_RPM,PT_RPM,INLET_AIR_TEMP,OFF_TAKE_TEMP,AFTER_HPT_TEMP,AIR_PR_AFTER_HPC,FUEL_PRESS_CHANNEL1,FUEL_PRESS_CHANNEL2,FIELD_TEMP1,FIELD_TEMP2,FIELD_TEMP3,FIELD_TEMP4,FIELD_TEMP5,FIELD_TEMP6,FIELD_TEMP7,FIELD_TEMP8,FIELD_TEMP9,FIELD_TEMP10,FIELD_TEMP_AVG,FIELD_TEMP_HIGH,FIELD_TEMP_LOW,VIB_LPC,VIB_PT,TOTAL_RH
1630,2,0.05,22,60,2547,4835,709,28,238,288,1.4,13.2,3.2,292,272,271,293,283,286,314,290,299,279,288,314,270,1.6,0.2,1800
1730,2,0.05,24,66,3015,5314,796,27,241,311,2,20.3,4.8,316,295,296,319,309,309,333,310,328,305,312,333,296,1.6,0.2,1801
1830,2,0.33,42,140,4751,6848,1679,28,311,444,5.5,36.1,12.4,516,430,438,464,451,369,431,392,476,460,443,516,369,1.6,0.2,1802
1900,2,0.37,43,146,4825,6909,1728,27,310,445,5.7,36.6,12.8,510,430,436,462,451,383,438,407,474,456,445,510,383,1.5,0.2,1803
2000,2,0.28,40,136,4606,6738,1612,27,298,427,5,35,11.5,458,524,414,418,445,439,335,404,375,462,428,524,335,1.5,0.2,1804
2100,2,0.29,40,136,4635,6766,1633,27,300,435,5.1,35.3,11.7,461,520,417,423,449,479,342,410,379,469,435,520,342,1.5,0.2,1805
2200,2,0.36,43,145,4816,6903,1732,27,311,447,5.6,36.3,12.7,464,511,431,436,465,470,381,438,404,475,447,511,381,1.3,0.1,1806
2300,2,0.36,43,145,4801,6898,1730,27,310,446,5.6,36.6,12.7,465,512,454,437,464,449,380,438,403,476,448,512,380,1.3,0.1,1807
100,2,0.36,43,145,4810,6911,1732,27,311,447,5.6,36.6,12.7,466,510,454,437,464,472,380,437,402,477,447,510,380,1.3,0.1,1808
200,2,0.36,43,145,4801,6902,1730,27,309,446,5.6,36.5,12.7,467,509,452,436,462,471,380,436,400,475,448,509,380,1.2,0.1,1809
300,2,0.36,43,145,4802,6904,1729,27,310,446,5.6,36.5,12.7,465,511,453,438,463,470,381,435,401,476,446,511,381,1.3,0.1,1810
350,2,0.36,43,145,4808,6910,1732,27,311,448,5.6,36.5,12.7,467,511,458,443,464,465,379,437,401,480,450,511,379,1.3,0.2,1811
500,2,0.29,40,135,4605,6757,1606,28,299,437,5.1,35.2,11.7,528,433,423,445,485,341,410,379,466,466,437,528,341,1.6,0.2,1812
600,2,0.29,40,135,4605,6757,1606,28,299,437,5.1,35.2,11.9,528,433,423,445,485,341,410,379,466,466,437,528,341,1.6,0.2,1813
700,2,0.29,40,137,4611,6762,1618,28,301,439,5.1,35.3,11.6,537,419,433,448,484,342,411,380,470,456,439,540,342,1.4,0.2,1814
745,2,0.29,40,137,4611,6762,1618,28,301,439,5.1,35.3,11.6,537,419,433,448,484,342,411,380,470,456,439,540,342,1.4,0.2,1815
900,2,0.08,25,74,3100,5438,881,28,246,316,1.8,13.5,3.9,301,314,294,298,310,301,299,322,301,313,299,322,290,1.8,0.2,1816
1000,2,0.08,25,72,3023,5365,854,29,248,318,2,20.8,4.9,310,321,300,300,326,319,317,340,316,333,318,340,300,1.8,0.2,1817
1100,2,0.08,25,72,3030,5370,860,29,248,318,2,20.9,4.7,310,321,300,300,326,319,317,340,316,333,318,340,300,1.8,0.2,1818
1200,2,0.06,22,60,2627,4926,706,29,249,300,1.5,19.9,3.5,289,301,279,282,306,303,301,325,300,309,300,325,279,2.1,0.2,1819
825,2,0.14,30,100,3809,6057,1194,27,270,370,3.2,29,8,385,434,332,341,409,420,312,345,325,381,368,434,312,2.9,0.1,1820
900,2,0.1,28,91,3566,5876,1082,28,259,340,2.3,16.9,3.8,295,304,288,274,306,286,314,311,299,310,293,314,274,1.6,0.2,1821
1000,2,0.1,28,91,3560,5872,1090,28,259,340,2.3,16.9,3.9,296,305,286,272,308,288,312,312,293,310,293,312,272,1.6,0.2,1822
1800,2,0.14,30,100,3813,6066,1199,27,282,372,3.2,29.1,8,384,433,330,340,410,421,313,346,326,380,367,433,313,2.8,0.1,1823
1900,2,0.09,28,90,3561,5873,1092,28,258,338,2.3,16.8,3.9,297,304,287,273,310,270,313,310,292,309,292,313,270,1.5,0.2,1824
